Seq;FCFS Waiting Time;SJF Waiting Time;FCFS Turnaround Time;SJF Turnaround Time
Seq1;540.62;357.92;552.22;369.52
Seq2;451.69;288.41;461.77;298.49
Seq3;529.48;366.78;541.08;378.38
Seq4;460.93;322.44;471.68;333.19
Seq5;482.31;280.93;492.17;290.79
Seq6;466.89;285.26;476.58;294.95
Seq7;481.6;315.01;491.95;325.36
Seq8;401.44;260.01;411.01;269.58
Seq9;403.09;261.32;412.42;270.65
Seq10;444.92;289.69;454.95;299.72
Seq11;520.33;376.15;531.93;387.75
Seq12;446.63;283.3;456.72;293.39
Seq13;491.22;336.84;502.47;348.09
Seq14;512.58;353.15;524.02;364.59
Seq15;536.27;386.44;548.09;398.26
Seq16;498.21;358.14;509.61;369.54
Seq17;404.3;261.78;413.98;271.46
Seq18;506.54;340.58;517.8;351.84
Seq19;485.65;327.87;496.4;338.62
Seq20;464.21;333.71;475.06;344.56
Seq21;477.59;321.57;488.28;332.26
Seq22;439.9;275.4;449.58;285.08
Seq23;503.68;349.94;515.18;361.44
Seq24;496.2;332.21;507.28;343.29
Seq25;487.33;336.7;497.94;347.31
Seq26;441.84;290.04;452.12;300.32
Seq27;466.7;328.44;477.32;339.06
Seq28;432.41;297.87;442.38;307.84
Seq29;494.61;336.76;505.63;347.78
Seq30;524.38;339.08;535.45;350.15
Seq31;517.08;370.16;528.45;381.53
Seq32;533.79;340.09;544.72;351.02
Seq33;457.59;295.73;467.72;305.86
Seq34;434.34;295.83;444.38;305.87
Seq35;459.5;292.92;469.77;303.19
Seq36;482.9;316.86;493.5;327.46
Seq37;483.61;339.67;494.65;350.71
Seq38;487.23;323.29;497.95;334.01
Seq39;513.97;328.58;524.86;339.47
Seq40;447.03;273.57;456.77;283.31
Seq41;466.97;290.25;477.14;300.42
Seq42;485.12;314.01;495.61;324.5
Seq43;527.26;344.78;538.42;355.94
Seq44;490.34;319.05;501.04;329.75
Seq45;472.38;312.45;483.09;323.16
Seq46;522.89;339.57;533.94;350.62
Seq47;452.41;306.82;462.75;317.16
Seq48;473.37;310.21;484.0;320.84
Seq49;469.55;332.72;480.44;343.61
Seq50;524.81;389.28;536.77;401.24
Seq51;488.84;323.84;499.42;334.42
Seq52;441.65;289.92;451.51;299.78
Seq53;453.97;293.57;464.18;303.78
Seq54;494.92;321.7;505.67;332.45
Seq55;453.69;306.87;463.93;317.11
Seq56;382.92;261.84;392.16;271.08
Seq57;438.98;291.83;448.86;301.71
Seq58;412.24;263.65;422.07;273.48
Seq59;485.83;289.49;496.08;299.74
Seq60;479.59;303.87;489.91;314.19
Seq61;426.99;276.61;436.76;286.38
Seq62;413.71;278.72;423.57;288.58
Seq63;464.37;282.08;474.24;291.95
Seq64;464.95;327.06;475.57;337.68
Seq65;444.97;303.0;455.13;313.16
Seq66;462.44;321.4;472.94;331.9
Seq67;514.76;319.32;525.53;330.09
Seq68;398.79;273.49;408.55;283.25
Seq69;471.39;296.85;481.54;307.0
Seq70;510.08;330.52;520.86;341.3
Seq71;452.99;324.16;463.58;334.75
Seq72;475.7;344.15;486.68;355.13
Seq73;482.12;345.73;493.0;356.61
Seq74;458.72;303.66;469.22;314.16
Seq75;467.94;309.98;478.69;320.73
Seq76;456.86;309.84;467.25;320.23
Seq77;477.07;321.49;487.93;332.35
Seq78;495.04;320.29;505.87;331.12
Seq79;457.88;287.97;467.79;297.88
Seq80;489.31;297.36;499.49;307.54
Seq81;431.51;278.25;441.13;287.87
Seq82;512.78;343.17;523.77;354.16
Seq83;431.98;269.64;441.78;279.44
Seq84;406.38;278.72;416.33;288.67
Seq85;474.47;310.97;484.91;321.41
Seq86;501.27;329.14;512.06;339.93
Seq87;489.34;316.56;499.83;327.05
Seq88;455.34;289.38;465.41;299.45
Seq89;465.7;326.66;476.41;337.37
Seq90;456.69;305.93;467.11;316.35
Seq91;481.78;332.32;492.78;343.32
Seq92;454.22;290.26;464.18;300.22
Seq93;448.14;317.41;458.35;327.62
Seq94;452.89;297.02;463.13;307.26
Seq95;521.74;339.45;532.76;350.47
Seq96;494.45;348.92;505.57;360.04
Seq97;468.66;305.33;479.13;315.8
Seq98;440.26;292.31;450.35;302.4
Seq99;414.23;290.84;424.2;300.81
Seq100;454.34;300.76;464.53;310.95

Overall Averages
FCFS Average Waiting Time;470.7056999999999
FCFS Average Turnaround Time;481.2074
SJF Average Waiting Time;313.1288000000002
SJF Average Turnaround Time;323.63050000000004
